"","Year","Transportation","Gross.total","Percent_Transportation"
"1",1990,1526.434289,6453.450223,23.6529954714737
"2",1991,1480.303906,6382.938922,23.1915724729537
"3",1992,1539.881716,6497.290079,23.700368881129
"4",1993,1576.887693,6613.39575,23.8438429002226
"5",1994,1631.84286,6700.778176,24.3530350824734
"6",1995,1667.019781,6785.363615,24.5678769125183
"7",1996,1723.249166,6990.925581,24.6497998874922
"8",1997,1749.849331,7046.213088,24.833897430381
"9",1998,1792.295979,7094.833389,25.2619882769738
"10",1999,1863.292088,7138.140714,26.1033252587125
"11",2000,1913.55078,7327.593209,26.1143151021226
"12",2001,1885.434886,7219.162974,26.1170843876283
"13",2002,1925.980857,7259.157149,26.5317421495045
"14",2003,1933.326749,7313.828082,26.4338555312517
"15",2004,1965.852074,7428.447645,26.463834275297
"16",2005,1975.495128,7434.827939,26.5708250978799
"17",2006,1975.865366,7360.801267,26.8430744742181
"18",2007,1974.426677,7463.786408,26.4534188020671
"19",2008,1870.90605,7240.643548,25.8389470162052
"20",2009,1796.295048,6787.264726,26.4656694635606
"21",2010,1802.276351,7007.442261,25.7194605944966
"22",2011,1768.59536,6845.087119,25.837441207883
"23",2012,1748.912231,6606.523764,26.4725034447027
"24",2013,1751.515531,6784.494217,25.8164496125769
"25",2014,1785.407075,6843.355823,26.0896425844084
"26",2015,1793.399368,6689.006127,26.811148531633
"27",2016,1828.045564,6537.871031,27.9608691473437
"28",2017,1845.16261,6500.975386,28.3828579627236
"29",2018,1874.726295,6687.512573,28.0332376879406
"30",2019,1874.291138,6571.725747,28.5205318991836
"31",2020,1627.618555,5981.354372,27.2115386210727
